Type,Description,Bedrooms,Bathroom,Area,Neighborhood,Disctrict,Price
Apartment,Apartment on sale,3,2,76,Constitucion,Disctrict 1,285000000
Apartment,Apartment on sale,3,3,172,San Telmo,Disctrict 1,1100000000
House,House on sale,3,5,315,Retiro,Disctrict 1,1800000000
Apartment,Apartment on sale,2,2,73,Liniers,Disctrict 9,477000000
Apartment,Apartment on sale,2,2,160,Flores,Disctrict 7,620000000
Apartment,Apartment on sale,3,3,165,Recoleta,Disctrict 2,650000000
Apartment,Apartment on sale,3,2,69,Villa Ortazar,Disctrict 15,355000000
Apartment,Apartment on sale,3,2,80,San Telmo,Disctrict 1,498000000
Apartment,Apartment on sale,4,4,322,Villa Gral. Mitre,Disctrict 11,1450000000
Apartment,Apartment on sale,2,1,45,La Boca,Disctrict 4,125000000
House,House on sale,4,4,290,Villa Luro,Disctrict 10,660000000
Apartment,Apartment on sale,2,3,92,Saavedra,Disctrict 12,680000000
Apartment,Apartment on sale,2,3,92,Retiro,Disctrict 1,680000000
Oficina/Consultorio,Oficina/Consultorio on sale,1,1,134,Retiro,Disctrict 1,1193390000
Apartment,Apartment on sale,3,2,133,Saavedra,Disctrict 12,460000000
House,House on sale,4,5,278,Villa Riachuelo,Disctrict 8,795000000
Apartment,Apartment on sale,2,2,112,Martinez,Disctrict 13,679000000
Apartment,Apartment on sale,1,2,46,Coghlan,Disctrict 12,255000000
Apartment,Apartment on sale,3,1,50,Villa Gral. Mitre,Disctrict 11,190000000
House,House on sale,2,1,41,Villa Devoto,Disctrict 11,170000000
House,House on sale,4,2,170,Belgrano,Disctrict 13,900000000
Apartment,Apartment on sale,2,3,78,La Boca,Disctrict 4,530000000
Apartment,Apartment on sale,3,2,59,Boedo,Disctrict 5,230000000
House,House on sale,7,3,245,Liniers,Disctrict 9,850000000
House,House on sale,3,1,120,Recoleta,Disctrict 2,450000000
Apartment,Apartment on sale,2,2,62,Villa Pueyrredon,Disctrict 12,360000000
Apartment,Apartment on sale,2,1,45,Versalles,Disctrict 10,143000000
Apartment,Apartment on sale,3,4,155,Nueva Pompeya,Disctrict 4,806000000
Edificio,Edificio on sale,8,4,253,Colegiales,Disctrict 13,700000000
Apartment,Apartment on sale,1,2,41,Versalles,Disctrict 10,480000000
Apartment,Apartment on sale,3,2,117,Versalles,Disctrict 10,500000000
House,House on sale,3,4,340,Parque Avellaneda,Disctrict 9,2200000000
Apartment,Apartment on sale,2,2,73,Caballito,Disctrict 6,280000000
Apartment,Apartment on sale,2,3,97,Villa Lugano,Disctrict 8,480000000
Apartment,Apartment on sale,3,3,96,Nueva Pompeya,Disctrict 4,500000000
Apartment,Apartment on sale,2,2,68,San Telmo,Disctrict 1,508000000
Apartment,Apartment on sale,3,2,75,San Telmo,Disctrict 1,343000000
Apartment,Apartment on sale,3,2,76,Villa Riachuelo,Disctrict 8,375000000
Apartment,Apartment on sale,1,1,36,Villa Soldati,Disctrict 8,310000000
House,House on sale,3,2,201,Liniers,Disctrict 9,280000000
House,House on sale,4,2,210,La Paternal,Disctrict 15,480000000
House,House on sale,4,2,190,Mataderos,Disctrict 9,350000000
Apartment,Apartment on sale,2,2,100,San Nicolas,Disctrict 1,340000000
House,House on sale,4,2,145,Villa Urquiza,Disctrict 12,250000000
Apartment,Apartment on sale,3,1,57,Parque Chas,Disctrict 15,260000000
House,House on sale,4,4,242,Balvanera,Disctrict 3,1150000000
Apartment,Apartment on sale,3,3,62,Saavedra,Disctrict 12,300000000
Apartment,Apartment on sale,3,3,122,Parque Patricios,Disctrict 4,650000000
Apartment,Apartment on sale,2,2,69,Colegiales,Disctrict 13,482000000
House,House on sale,3,1,47,Constitucion,Disctrict 1,129690000
Apartment,Apartment on sale,3,2,57,Velez Sarsfield,Disctrict 10,145000000
Apartment,Apartment on sale,3,1,48,Parque Avellaneda,Disctrict 9,136000000
Apartment,Apartment on sale,3,1,56,Parque Avellaneda,Disctrict 9,150000000
Apartment,Apartment on sale,1,2,51,Balvanera,Disctrict 3,393000000
House,House on sale,3,2,55,Martinez,Disctrict 13,183000000
Apartment,Apartment on sale,3,1,48,La Boca,Disctrict 4,136000000
Apartment,Apartment on sale,3,1,47,Nueva Pompeya,Disctrict 4,134000000
Apartment,Apartment on sale,3,1,47,Retiro,Disctrict 1,124000000
Apartment,Apartment on sale,3,1,48,Monte Castro,Disctrict 10,129000000
Apartment,Apartment on sale,3,1,47,Versalles,Disctrict 10,124000000
House,House on sale,10,4,288,Flores,Disctrict 7,650000000
Apartment,Apartment on sale,3,2,52,Villa Soldati,Disctrict 8,155000000
Apartment,Apartment on sale,2,2,53,La Paternal,Disctrict 15,150500000
Apartment,Apartment on sale,3,1,47,Villa Lugano,Disctrict 8,128000000
Apartment,Apartment on sale,3,1,47,Retiro,Disctrict 1,128000000
Apartment,Apartment on sale,3,1,47,Almagro,Disctrict 5,128000000
Apartment,Apartment on sale,3,2,52,San Cristobal,Disctrict 3,196000000
Apartment,Apartment on sale,3,2,52,Villa Real,Disctrict 10,196000000
Edificio,Edificio on sale,10,3,360,Villa Real,Disctrict 10,2300000000
Apartment,Apartment on sale,3,3,127,Villa Pueyrredon,Disctrict 12,690000000
House,House on sale,6,3,360,Balvanera,Disctrict 3,1100000000
Apartment,Apartment on sale,3,2,80,Villa Lugano,Disctrict 8,550000000
House,House on sale,5,2,174,Colegiales,Disctrict 13,570000000
Apartment,Apartment on sale,3,1,50,Villa Pueyrredon,Disctrict 12,195000000
Apartment,Apartment on sale,3,2,80,Parque Chacabuco,Disctrict 7,350000000
Apartment,Apartment on sale,2,2,114,Caballito,Disctrict 6,749999999
Apartment,Apartment on sale,3,2,86,Coghlan,Disctrict 12,375000000
Apartment,Apartment on sale,1,2,47,Mataderos,Disctrict 9,535000000
Apartment,Apartment on sale,3,1,50,Parque Chacabuco,Disctrict 7,215000000
Apartment,Apartment on sale,2,1,57,Belgrano,Disctrict 13,320000000
Apartment,Apartment on sale,2,1,40,Versalles,Disctrict 10,160000000
Apartment,Apartment on sale,3,2,97,Villa Gral. Mitre,Disctrict 11,600000000
Apartment,Apartment on sale,2,1,40,Agronomia,Disctrict 15,180000000
Apartment,Apartment on sale,2,1,43,Recoleta,Disctrict 2,130000000
Apartment,Apartment on sale,3,1,47,Villa Devoto,Disctrict 11,125500000
Apartment,Apartment on sale,2,2,61,San Cristobal,Disctrict 3,340000000
House,House on sale,3,1,47,Parque Patricios,Disctrict 4,131000000
Apartment,Apartment on sale,3,1,48,Floresta,Disctrict 10,136000000
Apartment,Apartment on sale,3,1,42,Mataderos,Disctrict 9,116000000
Apartment,Apartment on sale,3,1,47,Puerto Madero,Disctrict 1,136000000
House,House on sale,3,1,48,Villa Pueyrredon,Disctrict 12,130000000
Apartment,Apartment on sale,3,1,47,Villa Pueyrredon,Disctrict 12,127500000
Apartment,Apartment on sale,3,2,57,Retiro,Disctrict 1,145000000
Apartment,Apartment on sale,3,1,48,Barracas,Disctrict 4,126500000
Apartment,Apartment on sale,2,1,48,Agronomia,Disctrict 15,128500000
Apartment,Apartment on sale,3,2,52,Saavedra,Disctrict 12,155000000
Apartment,Apartment on sale,3,1,47,Mataderos,Disctrict 9,125000000
Apartment,Apartment on sale,3,1,47,Boedo,Disctrict 5,125000000
Apartment,Apartment on sale,3,2,62,Villa Devoto,Disctrict 11,150000000
Apartment,Apartment on sale,3,2,57,Villa del Parque,Disctrict 11,147300000
Apartment,Apartment on sale,3,1,46,Coghlan,Disctrict 12,125730000
Apartment,Apartment on sale,3,1,56,Villa Gral. Mitre,Disctrict 11,150000000
House,House on sale,3,1,47,Villa Pueyrredon,Disctrict 12,120800000
Apartment,Apartment on sale,3,1,56,Parque Patricios,Disctrict 4,150000000
Apartment,Apartment on sale,3,1,47,Versalles,Disctrict 10,102000000
Apartment,Apartment on sale,2,1,47,Colegiales,Disctrict 13,174000000
Apartment,Apartment on sale,3,4,135,Caballito,Disctrict 6,680000000
Apartment,Apartment on sale,3,2,122,Colegiales,Disctrict 13,720000000
Apartment,Apartment on sale,3,2,62,Versalles,Disctrict 10,240000000
Apartment,Apartment on sale,3,2,103,Barracas,Disctrict 4,468270000
Apartment,Apartment on sale,3,1,57,Villa Pueyrredon,Disctrict 12,145000000
Apartment,Apartment on sale,1,2,66,San Telmo,Disctrict 1,790000000
Apartment,Apartment on sale,3,4,292,La Boca,Disctrict 4,3807000000
Apartment,Apartment on sale,3,3,103,San Nicolas,Disctrict 1,1000000000
Apartment,Apartment on sale,2,2,89,Belgrano,Disctrict 13,450000000
Apartment,Apartment on sale,2,2,69,Versalles,Disctrict 10,499000000
Apartment,Apartment on sale,2,2,50,Villa Santa Rita,Disctrict 11,360000000
Apartment,Apartment on sale,3,2,73,Villa Real,Disctrict 10,310000000
Apartment,Apartment on sale,2,3,93,Puerto Madero,Disctrict 1,790000000
Apartment,Apartment on sale,3,3,81,Agronomia,Disctrict 15,365000000
Apartment,Apartment on sale,3,1,54,Villa del Parque,Disctrict 11,210000000
House,House on sale,6,4,367,Villa Luro,Disctrict 10,780000000
Apartment,Apartment on sale,3,2,90,San Nicolas,Disctrict 1,425000000
House,House on sale,4,2,330,Flores,Disctrict 7,1200000000
Apartment,Apartment on sale,3,3,198,Saavedra,Disctrict 12,1000000000
Apartment,Apartment on sale,4,2,98,Montserrat,Disctrict 1,430000000
Apartment,Apartment on sale,3,2,86,Balvanera,Disctrict 3,410000000
Apartment,Apartment on sale,3,3,107,San Telmo,Disctrict 1,700000000
Apartment,Apartment on sale,2,3,87,La Boca,Disctrict 4,850000000
Apartment,Apartment on sale,3,4,166,Villa Urquiza,Disctrict 12,1500000000
Apartment,Apartment on sale,1,1,22,Villa Riachuelo,Disctrict 8,140000000
Apartment,Apartment on sale,2,2,69,Villa Gral. Mitre,Disctrict 11,450000000
Apartment,Apartment on sale,3,3,255,San Nicolas,Disctrict 1,1650000000
House,House on sale,8,6,495,Villa Lugano,Disctrict 8,1250000000
Apartment,Apartment on sale,3,2,64,Monte Castro,Disctrict 10,285000000
Apartment,Apartment on sale,4,5,134,Villa Real,Disctrict 10,880000000
House,House on sale,8,6,495,Caballito,Disctrict 6,1250000000
Apartment,Apartment on sale,3,2,52,Monte Castro,Disctrict 10,153000000
Apartment,Apartment on sale,2,3,87,Flores,Disctrict 7,850000000
Apartment,Apartment on sale,3,4,166,Nueva Pompeya,Disctrict 4,1500000000
Apartment,Apartment on sale,3,2,68,La Boca,Disctrict 4,323000000
Apartment,Apartment on sale,2,2,54,Villa Devoto,Disctrict 11,285000000
House,House on sale,7,7,138,Liniers,Disctrict 9,552600000
Apartment,Apartment on sale,1,2,54,Agronomia,Disctrict 15,430000000
House,House on sale,4,4,202,Villa Pueyrredon,Disctrict 12,1700000000
Apartment,Apartment on sale,3,1,60,Barracas,Disctrict 4,182000000
Apartment,Apartment on sale,3,2,104,Palermo,Disctrict 14,479030000
Apartment,Apartment on sale,3,1,47,Villa Devoto,Disctrict 11,125000000
Apartment,Apartment on sale,2,1,55,Almagro,Disctrict 5,176000000
Apartment,Apartment on sale,3,2,57,Belgrano,Disctrict 13,148000000
Apartment,Apartment on sale,3,2,52,Puerto Madero,Disctrict 1,155000000
Apartment,Apartment on sale,3,1,47,Colegiales,Disctrict 13,136000000
House,House on sale,3,1,48,Agronomia,Disctrict 15,130000000
Apartment,Apartment on sale,3,1,47,San Cristobal,Disctrict 3,122000000
Apartment,Apartment on sale,3,2,57,Caballito,Disctrict 6,148000000
House,House on sale,3,1,47,Villa Gral. Mitre,Disctrict 11,120800000
Apartment,Apartment on sale,3,1,47,La Paternal,Disctrict 15,134000000
Apartment,Apartment on sale,3,1,47,Puerto Madero,Disctrict 1,125500000
Apartment,Apartment on sale,3,1,47,Villa Pueyrredon,Disctrict 12,102000000
Apartment,Apartment on sale,3,1,48,Caballito,Disctrict 6,129000000
Apartment,Apartment on sale,3,2,82,Villa Urquiza,Disctrict 12,450000000
Apartment,Apartment on sale,3,1,47,Flores,Disctrict 7,136000000
Apartment,Apartment on sale,3,2,57,Almagro,Disctrict 5,147300000
Apartment,Apartment on sale,3,2,70,Villa Santa Rita,Disctrict 11,332000000
Apartment,Apartment on sale,3,2,62,Nueva Pompeya,Disctrict 4,150000000
Apartment,Apartment on sale,2,1,47,Flores,Disctrict 7,130000000
House,House on sale,4,2,74,Belgrano,Disctrict 13,205000000
Apartment,Apartment on sale,3,1,47,Barracas,Disctrict 4,128000000
Apartment,Apartment on sale,3,1,48,Mataderos,Disctrict 9,129000000
Apartment,Apartment on sale,3,1,48,Almagro,Disctrict 5,126500000
Apartment,Apartment on sale,3,1,47,Nueva Pompeya,Disctrict 4,102000000
House,House on sale,3,1,47,Colegiales,Disctrict 13,120800000
House,House on sale,3,1,47,Martinez,Disctrict 13,131000000
Apartment,Apartment on sale,3,2,57,Parque Chacabuco,Disctrict 7,148000000
Apartment,Apartment on sale,3,1,47,Villa Real,Disctrict 10,122000000
Apartment,Apartment on sale,3,1,53,Mataderos,Disctrict 9,142000000
Apartment,Apartment on sale,3,1,47,Villa Riachuelo,Disctrict 8,125500000
Apartment,Apartment on sale,3,1,47,Montserrat,Disctrict 1,134000000
Apartment,Apartment on sale,3,1,47,Villa Santa Rita,Disctrict 11,125000000
Apartment,Apartment on sale,3,1,47,Martinez,Disctrict 13,136000000
Apartment,Apartment on sale,3,1,48,San Nicolas,Disctrict 1,136000000
Apartment,Apartment on sale,3,1,48,Monte Castro,Disctrict 10,126500000
Apartment,Apartment on sale,3,2,57,Chacarita,Disctrict 15,147300000
Apartment,Apartment on sale,3,1,53,Colegiales,Disctrict 13,142000000
House,House on sale,4,2,79,Constitucion,Disctrict 1,280400000
House,House on sale,3,1,47,Retiro,Disctrict 1,120800000
Apartment,Apartment on sale,3,1,47,Floresta,Disctrict 10,122000000
Apartment,Apartment on sale,3,1,47,Liniers,Disctrict 9,125000000
Apartment,Apartment on sale,3,1,47,Agronomia,Disctrict 15,125000000
Apartment,Apartment on sale,3,1,56,Villa Urquiza,Disctrict 12,150000000
Apartment,Apartment on sale,3,1,48,Villa del Parque,Disctrict 11,136000000
Apartment,Apartment on sale,3,1,47,Villa Lugano,Disctrict 8,134000000
Apartment,Apartment on sale,3,1,47,Constitucion,Disctrict 1,134000000
Apartment,Apartment on sale,3,1,53,Villa Soldati,Disctrict 8,159000000
Apartment,Apartment on sale,3,1,53,Balvanera,Disctrict 3,159000000
House,House on sale,4,2,131,Villa Ortazar,Disctrict 15,550000000
House,House on sale,3,3,120,Saavedra,Disctrict 12,880000000
Apartment,Apartment on sale,3,2,55,Palermo,Disctrict 14,165000000
House,House on sale,2,6,970,Balvanera,Disctrict 3,4250000000
House,House on sale,3,5,650,Chacarita,Disctrict 15,1500000000
Apartment,Apartment on sale,3,3,120,Parque Avellaneda,Disctrict 9,600000000
Apartment,Apartment on sale,2,3,85,Villa Urquiza,Disctrict 12,450000000
Apartment,Apartment on sale,2,1,64,Belgrano,Disctrict 13,154000000
Apartment,Apartment on sale,3,2,86,Barracas,Disctrict 4,550000000
House,House on sale,4,3,160,Mataderos,Disctrict 9,350000000
House,House on sale,5,2,140,Flores,Disctrict 7,395000000
Apartment,Apartment on sale,1,2,56,Caballito,Disctrict 6,464000000
Local,Local on sale,1,1,96,Palermo,Disctrict 14,1200000000
Apartment,Apartment on sale,3,2,43,Palermo,Disctrict 14,160000000
Apartment,Apartment on sale,3,2,52,Floresta,Disctrict 10,152000000
Apartment,Apartment on sale,3,2,68,Caballito,Disctrict 6,270000000
Edificio,Edificio on sale,22,0,1080,Barracas,Disctrict 4,9200000000
Apartment,Apartment on sale,2,2,53,San Telmo,Disctrict 1,262000000
Apartment,Apartment on sale,1,2,62,Parque Chas,Disctrict 15,543000000
House,House on sale,5,6,300,Villa Ortazar,Disctrict 15,3500000000
Apartment,Apartment on sale,3,2,65,Villa Riachuelo,Disctrict 8,275000000
Apartment,Apartment on sale,3,3,106,Villa Gral. Mitre,Disctrict 11,812955500
Apartment,Apartment on sale,3,3,125,Caballito,Disctrict 6,880000000
Apartment,Apartment on sale,3,3,116,Almagro,Disctrict 5,745000000
Apartment,Apartment on sale,3,3,165,Barracas,Disctrict 4,980000000
House,House on sale,3,5,295,Villa Devoto,Disctrict 11,1500000000
House,House on sale,6,3,109,Agronomia,Disctrict 15,800000000
Apartment,Apartment on sale,3,2,48,La Paternal,Disctrict 15,157000000
Apartment,Apartment on sale,2,2,52,Villa Riachuelo,Disctrict 8,150000000
Apartment,Apartment on sale,2,2,50,Parque Chacabuco,Disctrict 7,310000000
Apartment,Apartment on sale,3,1,47,Chacarita,Disctrict 15,136000000
Apartment,Apartment on sale,3,2,62,Versalles,Disctrict 10,153500000
Apartment,Apartment on sale,3,1,47,Balvanera,Disctrict 3,125000000
House,House on sale,3,1,48,Boedo,Disctrict 5,130000000
Apartment,Apartment on sale,3,1,47,Retiro,Disctrict 1,128000000
Apartment,Apartment on sale,3,2,62,Retiro,Disctrict 1,153500000
Apartment,Apartment on sale,3,1,47,Mataderos,Disctrict 9,125500000
Apartment,Apartment on sale,3,1,47,Martinez,Disctrict 13,134000000
Apartment,Apartment on sale,2,1,48,Versalles,Disctrict 10,130000000
Apartment,Apartment on sale,3,1,47,Villa Crespo,Disctrict 15,128000000
Apartment,Apartment on sale,3,2,62,Constitucion,Disctrict 1,150000000
Apartment,Apartment on sale,3,1,47,Retiro,Disctrict 1,124000000
Apartment,Apartment on sale,3,2,57,Mataderos,Disctrict 9,147300000
Apartment,Apartment on sale,3,1,47,Villa Pueyrredon,Disctrict 12,131000000
Apartment,Apartment on sale,3,2,57,Villa Riachuelo,Disctrict 8,148000000
Apartment,Apartment on sale,3,1,47,Villa Luro,Disctrict 10,128000000
Apartment,Apartment on sale,3,1,47,Balvanera,Disctrict 3,128000000
House,House on sale,3,1,47,Saavedra,Disctrict 12,120800000
Apartment,Apartment on sale,3,2,52,Monte Castro,Disctrict 10,155000000
Apartment,Apartment on sale,3,1,47,La Paternal,Disctrict 15,134000000
Apartment,Apartment on sale,3,1,47,Liniers,Disctrict 9,131000000
Apartment,Apartment on sale,3,2,57,Parque Chas,Disctrict 15,147300000
Apartment,Apartment on sale,3,1,47,Nueva Pompeya,Disctrict 4,124000000
Apartment,Apartment on sale,3,2,62,Barracas,Disctrict 4,153500000
Apartment,Apartment on sale,3,1,47,Mataderos,Disctrict 9,124000000
Apartment,Apartment on sale,3,1,47,Villa del Parque,Disctrict 11,129000000
House,House on sale,3,1,47,Villa Luro,Disctrict 10,120800000
Apartment,Apartment on sale,3,1,48,Belgrano,Disctrict 13,129000000
Apartment,Apartment on sale,3,1,48,Parque Patricios,Disctrict 4,129000000
Apartment,Apartment on sale,3,2,62,Velez Sarsfield,Disctrict 10,150000000
Apartment,Apartment on sale,1,2,64,Martinez,Disctrict 13,385000000
Apartment,Apartment on sale,2,1,41,Villa Real,Disctrict 10,188000000
Apartment,Apartment on sale,2,2,64,Montserrat,Disctrict 1,277000000
Apartment,Apartment on sale,3,2,78,Villa Gral. Mitre,Disctrict 11,232000000
Apartment,Apartment on sale,3,2,66,Mataderos,Disctrict 9,285000000
Apartment,Apartment on sale,3,2,95,Belgrano,Disctrict 13,442436000
Apartment,Apartment on sale,2,2,68,Villa Crespo,Disctrict 15,508000000
Apartment,Apartment on sale,3,5,342,Belgrano,Disctrict 13,3500000000
Apartment,Apartment on sale,3,2,61,Mataderos,Disctrict 9,270000000
Apartment,Apartment on sale,2,2,62,Montserrat,Disctrict 1,411000000
Apartment,Apartment on sale,3,2,61,Parque Avellaneda,Disctrict 9,270000000
Apartment,Apartment on sale,3,2,73,Villa Riachuelo,Disctrict 8,318000000
Apartment,Apartment on sale,3,2,70,Puerto Madero,Disctrict 1,298500000
Apartment,Apartment on sale,3,2,54,Liniers,Disctrict 9,280000000
Apartment,Apartment on sale,2,3,92,Puerto Madero,Disctrict 1,860000000
Apartment,Apartment on sale,3,2,58,La Paternal,Disctrict 15,116000000
Apartment,Apartment on sale,3,1,52,Palermo,Disctrict 14,120000000
Apartment,Apartment on sale,2,2,124,Villa Riachuelo,Disctrict 8,1100000000
Apartment,Apartment on sale,2,2,61,Villa Crespo,Disctrict 15,410000000
Apartment,Apartment on sale,3,3,103,Coghlan,Disctrict 12,800000000
Apartment,Apartment on sale,3,2,84,San Telmo,Disctrict 1,516742260
Apartment,Apartment on sale,2,2,86,Parque Chas,Disctrict 15,520000000
House,House on sale,5,3,172,Recoleta,Disctrict 2,280000000
Oficina/Consultorio,Oficina/Consultorio on sale,4,4,256,La Boca,Disctrict 4,1670000000
Apartment,Apartment on sale,4,6,396,Villa Soldati,Disctrict 8,2000000000
House,House on sale,3,3,92,Colegiales,Disctrict 13,359000000
Apartment,Apartment on sale,3,5,310,Villa Devoto,Disctrict 11,2900000000
Finca,Finca on sale,6,9,800,Liniers,Disctrict 9,5000000000
Apartment,Apartment on sale,5,7,576,Velez Sarsfield,Disctrict 10,1650000000
Apartment,Apartment on sale,3,3,152,Puerto Madero,Disctrict 1,1070000000
Apartment,Apartment on sale,3,2,80,Balvanera,Disctrict 3,385000000
Apartment,Apartment on sale,3,3,102,Colegiales,Disctrict 13,600000000
Apartment,Apartment on sale,2,2,60,Nueva Pompeya,Disctrict 4,299000000
Apartment,Apartment on sale,3,3,89,Nueva Pompeya,Disctrict 4,460000000
Apartment,Apartment on sale,2,2,83,Villa Soldati,Disctrict 8,450000000
Apartment,Apartment on sale,2,2,79,Parque Chacabuco,Disctrict 7,354000000
Apartment,Apartment on sale,2,3,92,Mataderos,Disctrict 9,860000000
Apartment,Apartment on sale,3,2,70,Villa Ortazar,Disctrict 15,298500000
Apartment,Apartment on sale,3,2,54,San Cristobal,Disctrict 3,280000000
Apartment,Apartment on sale,3,2,61,Liniers,Disctrict 9,270000000
Apartment,Apartment on sale,3,2,73,Retiro,Disctrict 1,318000000
Apartment,Apartment on sale,3,3,150,Boedo,Disctrict 5,1280000000
House,House on sale,4,3,314,Coghlan,Disctrict 12,1900000000
Apartment,Apartment on sale,2,2,63,Liniers,Disctrict 9,335000000
House,House on sale,3,3,201,Versalles,Disctrict 10,980000000
Apartment,Apartment on sale,3,3,96,Palermo,Disctrict 14,450000000
Apartment,Apartment on sale,3,3,131,San Telmo,Disctrict 1,1000000000
Apartment,Apartment on sale,5,5,354,Velez Sarsfield,Disctrict 10,2150000000
Apartment,Apartment on sale,3,3,150,Villa Lugano,Disctrict 8,1100000000
House,House on sale,3,4,180,Flores,Disctrict 7,2500000000
Apartment,Apartment on sale,3,2,75,Nueva Pompeya,Disctrict 4,400000000
Apartment,Apartment on sale,3,2,93,Coghlan,Disctrict 12,470000000
Apartment,Apartment on sale,3,2,60,Belgrano,Disctrict 13,250000000
Apartment,Apartment on sale,3,2,94,Parque Patricios,Disctrict 4,510000000
Apartment,Apartment on sale,2,1,77,Mataderos,Disctrict 9,550000000
Apartment,Apartment on sale,3,2,48,Villa Gral. Mitre,Disctrict 11,175000000
House,House on sale,5,3,117,San Telmo,Disctrict 1,650000000
House,House on sale,4,5,397,Agronomia,Disctrict 15,3400000000
Apartment,Apartment on sale,2,3,126,Almagro,Disctrict 5,1250000000
House,House on sale,4,3,261,Villa Pueyrredon,Disctrict 12,1100000000
House,House on sale,2,2,42,Montserrat,Disctrict 1,133000000
House,House on sale,8,5,360,Coghlan,Disctrict 12,750000000
House,House on sale,5,5,430,Caballito,Disctrict 6,1800000000
Apartment,Apartment on sale,2,2,67,Nueva Pompeya,Disctrict 4,330000000
Apartment,Apartment on sale,2,1,37,San Nicolas,Disctrict 1,188000000
Apartment,Apartment on sale,2,2,54,Agronomia,Disctrict 15,170000000
House,House on sale,4,1,55,Villa del Parque,Disctrict 11,128000000
House,House on sale,5,3,210,Boedo,Disctrict 5,540000000
Apartment,Apartment on sale,3,2,68,Puerto Madero,Disctrict 1,270000000
House,House on sale,6,3,180,Caballito,Disctrict 6,365000000
House,House on sale,6,4,288,Puerto Madero,Disctrict 1,382000000
Apartment,Apartment on sale,3,2,58,Coghlan,Disctrict 12,280000000
House,House on sale,3,4,450,Villa Luro,Disctrict 10,750000000
House,House on sale,4,4,250,Retiro,Disctrict 1,1700000000
House,House on sale,3,1,96,Velez Sarsfield,Disctrict 10,130000000
House,House on sale,4,3,403,Martinez,Disctrict 13,1150000000
House,House on sale,6,4,400,Boedo,Disctrict 5,470000000
House,House on sale,5,4,220,Parque Patricios,Disctrict 4,350000000
Apartment,Apartment on sale,3,2,62,Floresta,Disctrict 10,200000000
Edificio,Edificio on sale,10,7,890,Nueva Pompeya,Disctrict 4,2200000000
Apartment,Apartment on sale,1,2,52,Constitucion,Disctrict 1,430000000
Apartment,Apartment on sale,1,2,52,Villa Crespo,Disctrict 15,436000000
Apartment,Apartment on sale,1,2,51,Villa Urquiza,Disctrict 12,429000000
Apartment,Apartment on sale,3,3,154,Almagro,Disctrict 5,825000000
Apartment,Apartment on sale,3,2,78,Villa Gral. Mitre,Disctrict 11,348000000
Apartment,Apartment on sale,3,3,148,Balvanera,Disctrict 3,1300000000
Apartment,Apartment on sale,3,2,102,Parque Chacabuco,Disctrict 7,575000000
Apartment,Apartment on sale,3,3,230,Villa Riachuelo,Disctrict 8,1380000000
Apartment,Apartment on sale,3,2,104,Versalles,Disctrict 10,367500000
Apartment,Apartment on sale,3,2,63,Flores,Disctrict 7,251000000
Apartment,Apartment on sale,1,2,51,Barracas,Disctrict 4,429000000
Apartment,Apartment on sale,1,2,52,Balvanera,Disctrict 3,430000000
Apartment,Apartment on sale,1,2,52,Villa Ortazar,Disctrict 15,436000000
House,House on sale,6,4,288,Puerto Madero,Disctrict 1,382000000
Apartment,Apartment on sale,2,2,67,Versalles,Disctrict 10,330000000
Apartment,Apartment on sale,2,2,91,Monte Castro,Disctrict 10,380000000
House,House on sale,4,3,180,Belgrano,Disctrict 13,750000000
Apartment,Apartment on sale,3,2,62,Martinez,Disctrict 13,310000000
Apartment,Apartment on sale,2,3,125,Chacarita,Disctrict 15,800000000
House,House on sale,4,4,250,Villa Ortazar,Disctrict 15,1700000000
House,House on sale,8,5,360,La Paternal,Disctrict 15,750000000
House,House on sale,5,5,430,Agronomia,Disctrict 15,1800000000
Apartment,Apartment on sale,3,2,58,La Paternal,Disctrict 15,280000000
Apartment,Apartment on sale,2,1,37,Nueva Pompeya,Disctrict 4,188000000
House,House on sale,6,4,400,Retiro,Disctrict 1,470000000
Apartment,Apartment on sale,3,2,62,Monte Castro,Disctrict 10,200000000
Apartment,Apartment on sale,4,3,129,Floresta,Disctrict 10,635000000
Apartment,Apartment on sale,2,2,54,San Telmo,Disctrict 1,170000000
Apartment,Apartment on sale,3,4,113,Palermo,Disctrict 14,778000000
House,House on sale,3,1,96,Parque Chas,Disctrict 15,130000000
House,House on sale,4,3,403,La Boca,Disctrict 4,1150000000
House,House on sale,5,4,220,Villa Real,Disctrict 10,350000000
Apartment,Apartment on sale,3,2,68,Parque Chacabuco,Disctrict 7,270000000
House,House on sale,6,3,180,Caballito,Disctrict 6,365000000
House,House on sale,4,1,55,Villa Ortazar,Disctrict 15,128000000
House,House on sale,3,1,66,Velez Sarsfield,Disctrict 10,160000000
House,House on sale,5,3,210,Chacarita,Disctrict 15,540000000
House,House on sale,2,2,42,Caballito,Disctrict 6,133000000
House,House on sale,4,2,64,San Cristobal,Disctrict 3,199000000
House,House on sale,3,4,450,Villa Crespo,Disctrict 15,750000000
Apartment,Apartment on sale,3,1,57,Palermo,Disctrict 14,220000000
Apartment,Apartment on sale,3,3,54,Parque Patricios,Disctrict 4,249000000
House,House on sale,6,3,240,Balvanera,Disctrict 3,365000000
Apartment,Apartment on sale,1,2,54,Almagro,Disctrict 5,328000000
Apartment,Apartment on sale,3,3,107,Boedo,Disctrict 5,540000000
